Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
一	yī	ʔit	ʔit	ʔjǝt	ʔjǝt	ʔjit	ʔjit	ʔjit	ʔjit	be one, single, whole	1) один, единица; 2) единство; одинаковый; объединить; 3) весь; целиком; 4) раз...; как только...; 5) при повторении глагола обозначает однократность действия	As in some other cases, Viet. has secondary nasalisation of the initial.	Sino-Tibetan etymology	Dialectal data	1	1	0394 a-d	iti	itu	ichi;itsu;hitotsu	nhất	ji6, ji5	ji6, ji5	e6	25.1, 25.2, 40.2, 40.3			
乙	yǐ	ʔrǝt	ʔrǝt	ʔrǝt	ʔrǝt	ʔit	ʔit	ʔit	ʔit	the 2d of the Heavenly Stems	1) второй знак десятеричного цикла; второй, литер Б; 2) один, вм. 一; 3) точки, запятые ( проставляемые при чтении текста без пунктуации ); 4) корректурный знак вставки			Dialectal data	5	7777	0505 a-e									衣肸	質	象春艸木冤曲而出陰气. 尚彊. 其出乙乙也. 與丨 同意. 乙承甲象人頸. 凡乙之屬皆從乙.
丁	dīng	tēŋ trēŋ	tēŋ	tēŋ	tiēŋ	tiēŋ	tiēŋ	tiēŋ	tieŋ ṭạiŋ	4th Heavenly Stem; to beat, strike	1) четвертый циклический знак десятеричного цикла; четвертый; 2) совершеннолетний ( о мужчине ); призывник; душа, едок; подушный; взрослый рабочий (работник); 3) слуга, дворовый; 4) подходить; подходящий; как раз; как раз в ( какой-л. момент ); 5) иероглиф; буква; 6) гвоздь; макушка, вм. 釘 и 頂; 7) нести на себе; навлекать на себя; подвергаться; 8) Т-образный, тавровый; 9) Дин ( фамилия )	A somewhat later meaning (attested since Jin) is 'nail, peg' - more usually written as 釘. Within the onomatopoeic reduplication 丁丁 "go zheng zheng, sound of beating" the character is read as *trēŋ, MC ṭạiŋ (FQ 中莖), Pek. zhēng, Go tiyau, Kan tau (thus in Shi 7,1). Besides the ST etymology it is interesting to note Common Austronesian *tijaŋ 'Pfahl, Stange' (VLAW 137).	Sino-Tibetan etymology	Dialectal data	1	2925	0833 a-d	tiyau	tei	chō;tei;hinoto;ataru	d_inh				7.1_	低經 [a] 知耕 [b]	青 [a] 庚 [b]	夏時萬物皆丁實. 象形. 丁承丙. 象人心. 凡丁之屬皆從丁.
七	qī	shit	shit	shjǝt	shjǝt	shjit	shjit	shjit	chjit	be seven	1) 7 ( цифра ); седьмой; июль; семь раз, семью...; 2) неделя		Sino-Tibetan etymology	Dialectal data	1	7188	0400 a-d	siti	situ	shichi;nanatsu	thất	ćhi6	ćhi6	chi6	20.1_, 32.3, 32.4	砌一	質	陽之正也. 從一. 微陰. 從中. 衰出也. 凡七之屬皆從七.
乃	nǎi	nhǝ̄ʔ	nhǝ̄́	nhǝ̄́	nhǝ̄́	nhǝ̄́	nhǝ̄́	nhǝ̄́j	nʌ́j	then, and then, now; your (possess.)	1) перед сказуемым то, тогда, и тогда; именно; только тогда; 2) на месте связки именно и есть, является ничем иным, как...; 3) в начале предложения но вот; зато, напротив; однако, но; в то время, прежде; 4) древн. ты, твой; 5) древн. эмфатическая частица	Regular Sino-Viet. is nãi; cf. perhaps also nay 'now, at present, at this  time'. For *nh- cf. Chaozhou nai4.	Sino-Tibetan etymology	Dialectal data	4	4609	0945 a-c				nãy				29.1, 29.2, 29.3, 51.3			
九	jiǔ jiū	kʷǝʔ [kru?]	kwǝ́	kǝ́w	kǝ́w	kíw	kǝ́w	kǝ́w	kǝ́w kǝw	be nine	1) девять; девятый; 2) множество, все		Sino-Tibetan etymology	Dialectal data	5	7727			0			ćɨ1	ćɨ1	ći1		紀有 [a] 基優 [b] 奇尤 [c]	有 [a] 尤 [b]	陽之變也. 象其屈曲究盡之形. 凡九之屬皆從九.
了	liǎo le	rēwʔ (~ -ī-)	rḗw	rjā́w	riā́w	liḗw	liḗw	liḗw	líew	to complete, fulfill [Han]	1) закончить, завершить; решить; разрешить; понять; 2) конечный суффикс возможности или невозможности совершения действия ; [-le] 1) глагольный суффикс совершенного вида ( законченности действия ); 2) конечная частица предложения, подчеркивающая а) категоричность суждения ; б) становление состояния ; в) законченность действия	A late grammaticalized usage is for the modern perfective particle le. For *r- cf. Fuzhou lau 3 ; Siam. lɛ̄̀u.		Dialectal data	6	3031												
二	èr	nijs	nić	njǝś	ńǝś	ńiś	ńìj	ńì	ńì	two	1) два; второй; 2) двойной; дважды; 3) второй номер, помощник	For early OC a reconstruction *nit-s is also possible. Viet. has an interesting opposition: nhị 'two' - nhì 'second' - the basis for it within Chinese is not clear. For *n- cf. Xiamen ʒi 6 , li 6 , Chaozhou zi 6 , Fuzhou ne 6 , Jianou ni 6 .	Sino-Tibetan etymology	Dialectal data	7	2	0564 a-f				nhị	ne6	ne6		44.1, 44.2, 58.4			
人	rén	nin	nin	njǝn	ń́ǝn	ńin	ńin	ńin	ńin	human being, person, man; other persons, others; a person, someone	1) человек, люди; человеческий; человечный; очеловечить; по-человечьи; 2) лицо, субъект, особа, персона, личность; 3) другой, другие, кто-то, кто-либо ( обычно после глаголов в качестве прямого дополнения, часто не переводится ); все; 4) древн. подневольные, служилый люд; 5) Жэнь ( фамилия ; входит также в двойные фамилии ); 6) ядро, зерно ( плода ), см. 仁	For initial *n- cf. Min forms: Xiamen laŋ 2 , Chaozhou naŋ 2 , Fuzhou nöüŋ 2 , Jianou nɛiŋ 2 .  The closest external parallel is probably Tib. ńen, gnen 'a relative' - obviously derived from ńe 'near' (= OC 邇 *nejʔ q.v.). Thus OC *nin is an old -n-derivate < *nej-n.		Dialectal data	9	4777	0388 a-e				nhân	jĩ7	ńi7	ńi7	3.1, 6.3_, 27.3, 27.4, 28.4_, 29.1, 29.2, 29.3, 32.2_, 32.3, 32.4, 34.4, 38.2, 38.4_, 40.2, 40.3, 42.3, 45.1_, 45.2, 47.3, 49.1, 49.2, 50.3_, 51.3_, 52.1, 52.2, 52.3, 54.3, 56.1, 56.2, 56.3, 57.1, 57.3			天地之性最貴者也. 此籀文.象臂脛之形.凡人之屬皆從人. [365]
入	rù [rǔ] [rì]	nǝp	nǝp	nǝp	ńǝp	ńip	ńip	ńip	ńip	to enter, go into	1) входить, вступать; вводить; проникать; вклиниваться; 2) подходить; достигать, доходить; 3) принять участие; войти ( в дело , в пай ); 4) поступления, доходы; ввоз, импорт; 5) внутри; 6) заходить; закат; 7) попасть; оказаться подходящим; 8) см. 入聲; [rǔ] 1) засунуть, положить не туда, куда надо; 2) дать тайком; 3) провалиться, свалиться в...; упасть ( напр. в грязь )	For *n cf. Xiamen ʒip 8 , lip 8 , Chaozhou zip 8 , Fuzhou ik 8 .	Sino-Tibetan etymology	Dialectal data	11	6367	0695 a-d				nhập				40.2, 40.3	日力	緝	內也. 象從上俱下也. 凡入之屬皆從入.
八	bā	prēt	prēt	prjāt	priāt	piẹ̄t	piẹ̄t	piẹ̄t	pạ̈t	eight	1) восемь; восьмой; восемью; 2) все; везде, повсюду		Sino-Tibetan etymology	Dialectal data	12	6359	0281 a-d				bát	pia6	pia6	ćua6				
几	jǐ	krǝjʔ	krǝ́j	krǝ́j	krǝ́j	kíj	kíj	kí	kí	stool	столик	Also used for *krǝj 'be stud-adorned'. Regular Sino-Viet. is  ky`.	Sino-Tibetan etymology		16	7677					ghế							
刀	dāo	tāw	tāw	tāw	tāw	tāw	tāw	tāw	tâw	knife	1) нож; меч; бритва; 2) древн. монета ( в форме меча ); 3) резец для письма; 4) кипа ( бумаги )	Viet. dao is colloquial; regular Sino-Viet. is d_ao. A related form is probably 鉊 *taw 'big sickle' q.v. (with further parallels).		Dialectal data	18	4176	1131 a-b				dao	-tã4	-ta5	-ti4				
刁	diāo	tēw	tēw	tjāw	tiāw	tiēw	tiēw	tiēw	tiew	cunning, wily [LZ]	1) коварный, подлый; 2) держать во рту (в зубах), вм. 叼; 3) Дяо ( фамилия )			Dialectal data	18	4174												
力	lì	rǝk	rǝk	rǝk	rǝk	lɨk	lɨk	lɨk	lik	sinew; strength, force, power	1) сила; энергия; мощь; могущество; 2) способности, данные; возможности; ресурсы; 3) усилия; прилагать усилия, трудиться; усиленно, упорно; энергично, изо всех сил; 4) физическая работа; рабочая сила; чернорабочий; 5) Ли ( фамилия )	In Viet. cf. also an earlier colloquial loan: sú'c 'strength, force'. For *r- cf. Min forms: Xiamen lat 8 , Chaozhou lak 8 , Fuzhou lik 8 , Jianou li 8 .	Sino-Tibetan etymology	Dialectal data	19	4670	0928 a-b				lụ'c	-ɣɨ2		ɣɨ2	38.2			
匕	bǐ	pijʔ	píj	pjǝ́j	pjǝ́j	pjíj	pjíj	pjí	pjí	spoon	1) ложка; черпак, ковшик; 2) кортик, кинжал; наконечник стрелы				21	6921	0565 a, 566 m											
十	shí	gip	gip	gjǝp	gjǝp	gjip	gjip	gjip	ʒ́ip	be ten	1) десять; десятикратный; из десяти; 2) октябрь; 3) целиком, полностью, на 100%	For unaspirated *g- cf. Xiamen cap 8 , Chaozhou cap 8 , Fuzhou sek 8 .	Sino-Tibetan etymology	Dialectal data	24	2225	0686 a-d				thập	cɛ2	ci2	čer2				
卜	bǔ [pú] [bū] [+bó]	pōk	pōk	pōk	pōk	pōk	pōk	pwōk	puk	divine by bone or tortoise shell oracle	1) гадать; гадание; 2) предвидеть, знать заранее; предвиденное; 3) уст. выбирать по гаданию ( напр. место жилья, соседей, службу ); 4) Бу ( фамилия )		Sino-Tibetan etymology		25	1953	1210 a-d								50.2, 58.2	補屋	屋	灼剝龜也. 象灸龜之形. 一曰. 象龜兆之從橫也. 凡卜之屬皆從卜.
又	yòu	wǝʔs	wǝh	wǝh	wǝh	wǝ̀w	wǝ̀w	wǝ̀w	ɦǝ̀w	to repeat; again, still, further	1) опять, еще; еще раз; еще один; снова, опять; 2) союз между сказуемыми ( часто с удвоением ) и, да, да и; 3) усилительный союз перед сказуемым да; и; тем более; 4) союз, отделяющий дробь от целого , меньшее деление от большего ; 5) в начале фразы показатель абзаца и далее, дальше; затем, итак; 6) древн. правая рука	For *w- cf. Min forms: Xiamen, Fuzhou, Jianou iu 6 , Chaozhou iu 4 . Sometimes written as 有 (although the words are probably not related).		Dialectal data	29	6407												
三	sān	sǝ̄m	sǝ̄m	sǝ̄m	sǝ̄m	sǝ̄m	sǝ̄m	sǝ̄m	sâm	be three	1) три; третий; 2) тройной; 3) три месяца, квартал; [sàn] трижды; [sā] втроем, трое	Also read sàn, MC sầm (FQ 蘇暫), OC *sǝ̄m-s. The development *-ǝ̄m >  -âm is irregular (established by OC rhymes).	Sino-Tibetan etymology	Dialectal data	1	8	0648 a-c	san	san	san;mitsu	tam	sã4	sa4	sã4	20.2_, 21.1, 50.3, 58.4, 58.5			
下	xià	ghrāʔ	ghrā́	ɣrā́	ɣrǟ́	ɣạ̄́	ɣạ̄́	ɣạ̄́	ɣạ́	to descend; down, below	1) низ; нижний; внизу, снизу; вниз; 2) послелог обстоятельства места под; 3) следующий, последующий; нижеследующий; будущий; 4) низшего сорта, худший, низший; 5) подлый; 6) спускать(ся); служебный глагол направления к, в; 7) издать, отдать; 8) засевать ( хлеба ); 9) класть ( яйца ); метать ( икру , детенышей животных ); 10) идти, выпадать; 11) посетить, прийти в ( ресторан ); остановиться в ( гостинице ); 12) разослать ( приглашения ); выпустить; 13) потратить ( время , усилия ); 14) взять ( город ); покорять(ся), пасть; 15) проявить ( энергию , решимость ); 16) удар; раз; 17) сторона; 18) левый; [-xia] суффикс направления действия ( вниз ) и совершенного вида действия	Also read *ghrāʔ-s, MC ɣạ̀ (FQ 胡駕)'to descend; fall'. For *gh cf. Xiamen e 6 , Chaozhou e 4 , Fuzhou a 6 , Jianou a 8 .	Sino-Tibetan etymology	Dialectal data	1	1973	0035 a-c	ge	ka	ka;ge;shita;shimo;moto;sageru;sagaru;kudaru;kudasu;kudasaru;orosu;oriru	hạ	ɣɛ1-	er1-	-ji1-	15.3_, 19.3_, 28.3, 29.1, 29.2, 31.3_, 32.3_, 33.2, 35.1			
丈	zhàng	draŋʔ	dráŋ	ḍáŋ	ḍáŋ	ḍáŋ	ḍáŋ	ḍáŋ	ḍáŋ	respected person; measure of earth [L.Zhou]	1) чжан ( китайская сажень = 3,2 метра ); измерять землю; 2) почтенный человек; 3) тесть	Both meanings are probably derived from 長 *traŋʔ 'to become long, grow  up; elder, senior' (q.v.) ("elder, senior" > "respected person"; "to measure  length" > "measure of earth, measure of length"). The meaning "respected  person" gave rise (as early as in Han) to a narrower meaning "father-in-law".  In this sense the word was borrowed in Viet. as du'ọ'ng 'stepfather; husband  of one's aunt or sister' (the regular Sino-Viet. rendering of 丈 is  tru'ọ'ng).		Dialectal data	1	6416	0722 a	diyau	tiyau	jō;take	du'ọ'ng							
上	shàng shǎng	daŋʔs daŋʔ	daŋh	daŋh	ʒ́aŋh	ʒ́àŋ	ʒ́àŋ	ʒ́àŋ	ʒ́àŋ ʒ́áŋ	to rise	1) верх; верхний; наверху; сверху; вверх; 2) послелог обстоятельства места ( часто начинающегося глаголом 在) на; 3) сев. диал. послелог времени в то время, когда; 4) предыдущий, вышеуказанный; прошлый; 5) высшего сорта, превосходный, высший; 6) служебный глагол направления в обстоятельствах времени к, в; 7) император, богдыхан; [shǎng] 1) подниматься, восходить на...; 2) быть помещенным в..., попасть ( в газету ); занести ( в список ); 3) подать, представить ( жалобу ); 4) приступить ( к исполнению обязанностей ); 5) закрыть; застегнуть; замкнуть; 6) завести ( часы ); заправить ( маслом ); наладить; 7) положить ( удобрение ); покрыть; [-shang] 1) видовой суффикс , указывающий на завершение действия ; 2) см. 上來	Also read *daŋʔ-s, MC ʒ́àŋ (FQ 時亮), Mand. shàng 'upper part, above'. Standard Sino-Viet. has thu'õ'ng for *ʒ́áŋ and thu'ọ'ng for *ʒ́àŋ. For *d- cf. Min forms: Xiamen cĩũ 6 'rise', Chaozhou cĩẽ 4 'rise', cĩẽ 6 'above', Fuzhou sioŋ 6 'rise, above', Jianou ciɔŋ 6 id. Etymologically the word can hardly be kept separated from OC 拯 *tǝŋʔ 'to lift', 尚 *daŋ 'upwards' q. v.		Dialectal data	1	79	0726 a-d	ziyau	siyau	jō;shō;ue;uwa;kami;ageru;agaru;noboru;noboseru;nobosu;tatematsuru;hotori	thu'ọ'ng	?tõ1-, cõ1	?tou1-	?dõ1-, ḍõ1	28.3, 33.2, 38.1, 48.1_, 48.2, 48.3	侍漾 [a] 市養 [b]	漾 [a] 養 [b]	高也. 此古文上. 指事也. 凡上之屬皆從上.
丫	yā	ʔrā (~ -āj)	ʔrā	ʔrā	ʔrǟ	ʔạ̄	ʔạ̄	ʔạ̄	ʔạ	bifurcation; a k. of hair-knot [Tang]	1) рогулька, головная шпилька; 2) развилка				2	1952		e	a									
丸	wán	wār	wān	wān	wān	wān	wān	wān	ɣwân	small round object [L.Zhou]	1) пуля; шарик, пилюля; 2) яп. "мару" - суффикс, завершающий названия японских коммерческих судов	The graph is attested already in Shijing, but only as a substitute for 桓 *wār q.v. (and actually rhymes in *-n - although only within one rhyme sequence - , which makes the reconstruction of *-r somewhat dubious). For *w- cf. Xiamen uan 2 , Chaozhou ĩ 2 , Fuzhou uoŋ 2 , Jianou ɔŋ 2 .	Sino-Tibetan etymology	Dialectal data	3	7739	0163 a	guwan	kuwan	gan;maru;marumeru;tama;marui	hoàn							
凡	fán	b(h)ram (~ -ǝm)	b(h)ram	b(h)ram	b(h)ram	b(h)am	b(h)am	b(h)am	bwɨm	all	1) все, все вообще; всякий, каждый, кто...; всякий раз, когда...; всегда; 2) всего, в итоге; 3) обычный, обыкновенный; рядовой, заурядный; 4) светский		Sino-Tibetan etymology	Dialectal data	16	7712					phàm				35.4			
久	jiǔ	kʷǝʔ	kwǝ́	kǘ	kwǝ́	kíw	kǝ́w	kǝ́w	kǝ́w	be long, a long time	1) долго, длительно; продолжительный; долгое время; 2) давний, старый, давнишний; 3) ждать, ожидать	May be related to 舊 *gʷǝ-s 'old' q.v. (although the latter does not rhyme in 上聲). [Or cf. Tib. sgug 'to wait' ?]		Dialectal data	4	4857									37.2_			
么	yāo	ʔīw	ʔīw	ʔjǝ̄w	ʔiǝ̄w	ʔiēw	ʔiēw	ʔiēw	ʔiew	small [Han]	1) маленький, крошечный; молодой; 2) разг. раз; туз; очко; один ( особенно в игре ); 3) одинокий; 4) Яо ( фамилия )			Dialectal data	52	8681	1115 a											
也	yě	lhiajʔ	lhiáj	lhiáj	zhä́	zhá	zhá	zhá	já	postposed particle, marking a pause as well as stating an objective fact.	1) тоже, также; 2) союз, связывает сказуемые с одинаковой глагольной частью, часто удваивается и; и... и...; 3) и то; 4) и в этом случае, все же, все равно; 5) ставится после наречий, указывая на оттенки решимости, твердости или колебания говорящего ; 6) в вэньяне оформляет обособленный член предложения ( или целое словосочетание ); 7) в вэньяне модальная частица, оформляет предложения, подчеркивая оттенки вопроса, восклицания, категоричности и др. ; 8) в вэньяне оформляет предложения с предметным сказуемым при отсутствии связки	Min dialects point here to Late Old Chinese *jh- (cf. Xiamen, Chaozhou ia 6 ,  Fuzhou ia 5 ), which is impossible in a xie-sheng series with lateral affricates:  therefore, *lh- is to be reconstructed. The resonant reconstruction is also  probable because of attested reductions of 也 + 乎 *lhiajʔ + wā to *lhia (耶)  or *lha (與) q.v.		Dialectal data	5	7254	0004 g					li4	le4	le4	22.1, 22.2, 22.3, 23.3, 26.3, 37.1, 37.2, 45.1, 45.2, 46.1, 46.2, 46.3, 47.2, 50.3, 51.3, 58.3, 58.4			
乞	qǐ	khǝt	khǝt	khǝt	khǝt	khɨt	khɨt	khɨt	khɨt	to beg, ask for	1) просить, умолять, клянчить; 2) Ци ( фамилия ); [qì] давать, дарить				5	7781	0517 f				khất							
于	yú [yū, xū]	wa	wa	wa	wa	wo	wo	wo	ɦü	to go; be in, to; to enlarge	1) предлог, вводящий косвенное дополнение, см. 於; 2) идти, отправляться; 3) древн. как?, каким образом?, вм. 何; 4) я; 5) большой; широкий; далекий; 6) Юй ( фамилия ); [xū̄] см. 吁	Min dialects have not preserved the word, but the clearly related 往 *waŋʔ 'to go' has Min reflexes: Xiamen ɔŋ3, Chaozhou uaŋ3, Fuzhou uoŋ3, allowing to reconstruct *w- (not *wh-) [the reconstruction in RDFS p. 158 is incorrect - as well as the observation on the previous page that only OC *wh- can go back to ST *ʔʷ - the problem needs further investigation]. Also used as an interjection (especially in the combination 于嗟 *wa-ciaj).	Sino-Tibetan etymology	Dialectal data	7	3234	0097 a-g	u	u	u;aa;koko;ni;yori;yuku					2.1, 6.1, 7.2, 7.3, 9.2, 9.3, 11.1, 11.2, 11.3, 12.1, 12.2, 12.3, 13.1, 13.2, 15.1, 15.2, 15.3, 25.1, 25.2, 26.4, 28.1, 28.2, 28.3, 31.3, 31.5, 33.1, 33.2, 35.5, 39.1, 39.2, 39.3, 50.1, 50.2, 50.3, 51.2, 54.1, 54.4, 57.3, 58.1, 58.2, 58.5	雲劬	虞 [魚]	於也. 象氣之舒于. 從丂. 從一. 一者. 其氣平也. 凡于之屬皆從于.
亡	wáng	maŋ	maŋ	maŋ	mwaŋ	mwaŋ	mwaŋ	mwaŋ	mwaŋ	to lose, have no; disappear, perish, flee	1) погибнуть; умереть; покойный, умерший; мой покойный...; 2) потерять; 3) бежать; бегство; [wú] древн. не иметь, нет, см. 無	For *m- cf. Min forms: Xiamen bɔŋ 2 , Chaozhou buaŋ 2 . In some bone inscriptions the graph is used instead of the synonymous 罔 *maŋʔ q.v. Etymology see under 無.		Dialectal data	8	748	0742 a-f								27.2_, 35.4_			
兀	wù	ŋ(h)ūt	ŋ(h)wǝ̄t	ŋ(h)wǝ̄t	ŋ(h)wǝ̄t	ŋ(h)wǝ̄t	ŋ(h)wǝ̄t	ŋ(h)wǝ̄t	ŋot	high and level [Han]	1) срезанный, плоский ( напр. о горе ); 2) безногий; отрезать ноги; 3) эх-да, ой-да ( восклицание в песне ); 4) несознательный; 5) неестественный ( о поведении )	Used also for a homonymous word *ŋ(h)ūt 'to cut off, shorten (limbs, etc. - e.g. in punishment)' = 刖 q.v.			10	7285	0487 a	goti	gotu	gotsu;gochi;kotsu;ashikiru								
刃	rèn	nǝrs	nǝnh	nǝnh	ńǝnh	ńìn	ńìn	ńìn	ńìn	edge of a blade	лезвие, острие; меч; колоть; заколоть, зарезать; [liǎng] лот; лан; сокращенное начертание 兩 в коммерческой переписке	For *n- cf. Xiamen ʒim 6 (with quite irregular -m; cf. also Chaozhou zim 3 - with the same irregularity plus irregular tone), Fuzhou eŋ 6 , Jianou nüiŋ 6 .		Dialectal data	18	4207	0456 a											
勺	sháo	dekʷ	deuk	djauk	ʒ́auk	ʒ́auk	ʒ́ak	ʒ́ak	ʒ́ak	ladle, cup [LZ]	1) черпак, ковш; уполовник; ложка; черпать; 2) шао ( мера сыпучих тел, равная одной сотой шэн 升)	Also read *tekʷ (MC ćak, Pek. zhuo) 'to ladle, serve wine'; borrowed for *tekʷ 'name of a piece of music'. During EZ attested only within the diesheng 勺藥 *dakʷ-lakʷ 'peony' (where -a- is proved by the rhyme, in spite of xiesheng). For unaspirated *d cf. Xiamen ciɔk 8 .		Dialectal data	20	4258	1120 a											
千	qiān	shīn	shīn	shjǝ̄n	shiǝ̄n	shiēn	shiēn	shiēn	chien	be a thousand	1) тысяча; множество, масса; весьма; во что бы то ни стало; 2) Цянь ( фамилия )		Sino-Tibetan etymology	Dialectal data	24	2328	0365 a-d				thiên	ćhĩ4	ćhi4	chĩ4	50.3_			
叉	chā	ćhrē (~ shrē)	chrē	c̣hē	c̣hiē	c̣hiẹ̄j	c̣hiẹ̄j	c̣hiẹ̄j	c̣hạ̈	fork, bifurcation [Han]	1) переплести пальцы; сплетение; 2) разветвление; вилка; 3) зажать; 4) уколоть; поддеть на вилку (острогу); [chá] 1) переплестись, сцепиться, крепко сплестись; 2) застрять; [chǎ] раздвинуть, развести	MC has also a variant reading c̣hạ (FQ 初牙) id.		Dialectal data	29	6409												
口	kǒu	khōʔ	khṓ	khwā́	khwā́	khṓw	khǝ̄̀w	khǝ̄̀w	khʌ́w	mouth	1) рот, уста; 2) отверстие; дыра; прореха; пробоина; жерло ( орудия ); горлышко ( сосуда ); 3) устье ( реки ); порт, гавань; вход; выход; горный проход, перевал; 4) лезвие; 5) счетный суффикс а) для людей ; б) для домашних животных ; в) для предметов с крышкой или отверстием ; г) для лезвий, ножей ; д) глоток ( воды ); затяжка ( табака ); 6) устно, на словах; произношение, выговор; обсуждать; 7) сокр. г. Калган		Sino-Tibetan etymology	Dialectal data	30	1061	0110 a-c				khâ`u							
土	tǔ	thāʔ	thā́	thā́	thā́	thṓ	thṓ	thṓ	thó	land, soil	1) земля, почва; Земля ( как стихия китайской космогонии ); пыль; 2) местный, туземный; 3) планета Сатурн; 4) опиум ( местной выделки )	Also used for *d(h)āʔ (MC dó, Pek. dù) roots of mulberry tree. Probably of Austric origin: cf. PAN *buRtaq 'earth, soil', PAA *tɛj 'earth', PMY *Ctau.A id. (cf. Sag. 8).		Dialectal data	32	142	0062 a-c					thu1-			29.1_, 29.2, 31.1			
士	shì	ʒ́(h)rǝʔ	ʒ(h)rǝ́	ʒ̣(h)ǝ́	ʒ̣(h)ǝ́	ʒ̣(h)ɨ́	ʒ̣(h)ɨ́	ʒ̣(h)ɨ́	ʒ̣ɨ́	a male person, man; retainer, servant	1) ученый; образованный человек; 2) унтер-офицер; сержант; рядовой состав, солдаты; 3) ист. служилое сословие; чиновник; 4) мужчина, муж; молодой [человек]	Standard Sino-Viet. is sĩ. See also 仕 and 事.		Dialectal data	33	138	0970 a-c				sãi				20.1, 20.2, 20.3, 23.1, 34.3, 57.4, 58.3, 58.4			
夕	xì	lhiak	lhiak	lhiak	zhiak	zhjek	zhjek	zhjek	zjek	evening	1) вечер; вечером; ночью; 2) накануне; канун		Sino-Tibetan etymology		36	4149	0796 a-d											
大	dà [dài] [tài]	dhāts [thāts]	dhāć	dhāś	dhāś	dhāś	dhā̀j	dhā̀j	dầj [thầj]	be great, big	1) большой; великий; высокий ( ростом ); крупный, огромный; 2) старший ( по возрасту, положению ); уважаемый, Ваш; быть старше; 3) сильно, очень, весьма; громко; особенно; преувеличенно; 4) увеличивать, расширять; преувеличивать; напускать на себя важность; 5) сокр. высшее учебное заведение, университет; 6) сокр. съезд; пленум; [dài] великий ( в титуле государств ); [tài] великий; слишком, вм. 太	Also read *thāt-s, MC thầj, Pek. tài id.		Dialectal data	37	4885	0317 a				d_ại	to2	to3	do2	51.3, 54.1, 54.4, 57.3	鐸艾 ~ 鐸俄 [a] 託艾 [b]	泰	天大. 地大. 人亦大. 古大象人形. 古文大也. 凡大之屬皆從大.
女	nǚ	nraʔ	nrá	ṇá	ṇá	ṇó	ṇó	ṇó	ṇö́	woman, wife, girl, daughter; female (of persons)	1) женщина; женский, дамский; ставится впереди имен существительных, обозначающих женщин-специалистов и др. ; 2) дочь; 3) девушка, девица, барышня; 4) яп. маленький, слабый; 5) Дева ( созвездие ); [nǜ] женить ( кого-л. ) на своей дочери; выдать дочь за...; [rǔ] древн. ты, вм. 汝	Also read *nraʔ-s, MC ṇö̀, Mand. nǜ 'to give someone a wife'. Used also within the compound 女蘿 *nraʔ-rāj 'dodder (Cuscuta)'. The same root is obviously present in 娘 OC *nraŋ, MC ṇaŋ, Mand. niáng 'young lady, woman'. Unaspirated *n- is suggested by Min forms: for 女 cf. Xiamen lu 3 , Chaozhou nɨ 3 , Fuzhou nü 3 ; for 娘 cf. Xia. niũ 2 , Chaozhou nĩẽ 2 , Fuzhou nioŋ 2 , Jianou niɔŋ 2 , niɔŋ 9 . The character is rather frequently used to denote the second person pronoun *nhaʔ (instead of 汝 q.v.) - thus, e.g., in 17.2, 17.3, 27.3.	Sino-Tibetan etymology	Dialectal data	38	8786	0094 a-e				nũ'	jü̃1	ńü1	ńü1	1.1, 9.1, 15.3_, 17.2, 17.3, 23.1, 23.2, 27.3, 39.2, 42.1, 42.2, 42.3, 51.1, 51.2, 54.3, 58.3, 58.4			婦人也.象形.王育說.凡女之屬皆從女.
