Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
荅	dá	tǝ̄p	tǝ̄p	tǝ̄p	tǝ̄p	tǝ̄p	tǝ̄p	tǝ̄p	tʌp	to respond					0	0	0676 b	tofu	tafu	tō;au;awaseru	d_áp	ta4-	ta5	ta2-				
荓															0	0	0824 k											
茬	cha														0	0												
虓	xiaō									roar					0	0												
虒															0	0	0870 a											
蚨	fú										ʒ欸 ǎi 欸乃 плеск весел; [èi] д				142	5070												
蚍	pi														0	0												
蚋	ruì	n(h)ots	n(h)wać	n(h)waś	ń(h)waś	ń(h)weś	ń(h)wèj	ń(h)wèj	ńwèj	mosquito, gnat	москит (Similium sp.)		Sino-Tibetan etymology		142	3964	0695 p, s											
蚧	tiǎn										дождевой червяк; [cán] сокр. 蠶				142	8741												
蚕	tiǎn										дождевой червяк; [cán] сокр. 蠶				142	8741												
衄	niù										1) кровотечение из носа; 2) потерпеть поражение				143	529												
衭	fū										передняя пола одежды				145	5067												
衵	rí										сокр. женское белье				145	1474	0404 e											
衲	nà										1) чинить, штопать ( одежду ); подбивать, стегать; 2) ряса; монах				145	3960												
袀															0	0	0391 d											
衿	jīn									collar/lapel of a coat	1) ворот платья; 2) поясок; 3) см. 襟				145	2790	0651 g											
衯	fēn	phǝn	phǝn	phǝn	phwǝn	phwɨn	phwɨn	phwɨn	phün	long garment			Sino-Tibetan etymology		0	0												
衾	qīn	kh(r)ǝm	kh(r)ǝm	kh(r)ǝm	kh(r)ǝm	khim	khim	khim	khim	a coverlet	1) стеганое одеяло; ватник; покрываться; 2) саван		Sino-Tibetan etymology		145	5681	0651 h								21.2			
訒															0	0	0456 f											
豇	jiāng										豇豆 бот. лобня китайская (Vigna sinensis)				151	83												
豻	yí	ŋ(h)āns	ŋ(h)ānh	ŋ(h)ānh	ŋ(h)ānh	ŋ(h)ā̀n	ŋ(h)ā̀n	ŋ(h)ā̀n	ŋần	wild dog	перенести; стар. передать пожалованный ранг посмертно мужским или женским предкам	?Cf. PA *ŋĭ̀ndó 'dog'.			154	7261	0139 |d ́											
貤	yí										перенести; стар. передать пожалованный ранг посмертно мужским или женским предкам				154	7261												
貣															0	0	0918 h											
赶	gan														0	0												
趵	bao														0	0												
軑	dì	d(h)ēts	d(h)ēć	d(h)jāś	d(h)iāś	d(h)iēś	d(h)iḕj	d(h)iḕj	dièj	wheel-axle cap [LZ]		Also read *d(h)āt-s, MC dầj, Pek. dài id.			0	0	0317 h											
軓															0	0	0625 e, 626 b											
迿															0	0	0392 q											
迻	yí	Łaj	Łaj	laj	źe	źe	je	je	je	move, remove [L.Zhou]		= 移 q.v.			0	0	0003 r-s											
逄	páng	b(h)rōŋ	b(h)rōŋ	b(h)rōŋ	b(h)rōŋ	b(h)ọ̄ŋ	b(h)ọ̄ŋ	b(h)ọ̄ŋ	bạuŋ	a family name [L.Zhou]		The character is a variant of 逢 q.v., but attested only as a family name and (later) in an onomatopoeic reduplication *b(h)rōŋ-b(h)rōŋ 'sound of drum'.			0	0		bou	pau	bō;hō;au								
郟	jia														0	0	0630 d											
郘	lǚ	r(h)aʔ	r(h)á	r(h)á	r(h)á	l(h)ó	l(h)ó	l(h)ó	lö́	place name		Attested only in Zhou bronze inscriptions.			0	0	0076 h-i											
郛	fú										1) предместье, пригород; 2) пригородные укрепления				163	2173	1233 g											
郗	xi														0	0												
郜	gao														0	0	1039 f-g											
郤	xì										1) щель, промежуток, см. 隙; 2) обида; разлад				163	2143												
�	gan														0	0												
酎	zhou														0	0	1073 c											
酏	yí	Łaj	Łaj	laj	źe	źe	je	je	je	rice or millet broth [L.Zhou]; (Shuowen:) a k. of spirits made of millet					0	0	0004 |s, k ́											
釕	liao														0	0												
陜	shǎn										1) сокр. провинция Шэньси; 2) Шань ( фамилия )			Dialectal data	170	4998												
陟	zhì	trǝk	trǝk	ṭǝk	ṭǝk	ṭɨk	ṭɨk	ṭɨk	ṭik	to ascend, die; raise, promote	1) подниматься, восходить; идти вперед; 2) иметь отношение к...; касаться; вмешиваться; 3) приехать в...; пройти через...; пережить, испытать ( на себе )		Sino-Tibetan etymology		170	4051	0916 a-c								3.2, 3.3, 3.4, 14.2, 14.3, 54.3			登也.從阜步. [732]
隼	dìng									hawk, falcon	декорировать фруктами; декоративные фрукты; убирать стол				184	2934	0467 a-b											
飣	dìng										декорировать фруктами; декоративные фрукты; убирать стол				184	2934												
髟	biaō	pew	pew	pjaw	pjaw	pjew	pjew	pjew	pjew	long hair		Also read *piw, MC pjiw id.	Sino-Tibetan etymology		0	0	1154 a											
鬯	chàng	thraŋs	thraŋh	ṭhaŋh	ṭhaŋh	ṭhàŋ	ṭhàŋ	ṭhàŋ	ṭhàŋ	aromatic millet wine	1) жертвенное вино; 2) футляр для лука; 3) см. 暢	Initial *thr- reconstructed, because the character is also used instead of  韔 *thraŋs 'bow-case' in Shi.			192	7012	0719 a-d											
偪															0	0	0933 n											
偞															0	0	0633 m-n											
偓	wò	ʔrōk	ʔrōk	ʔrōk	ʔrōk	ʔọ̄k	ʔọ̄k	ʔọ̄k	ʔạuk	be or become restless [L.Zhou]		During L. Zhou used only (in Chuci) within the binome **促 *ʔrōk-ćhok 'become restless'. Later (in Han time) the character was also used as name of a saint.			0	0	1204 c	aku	aku	aku								
偋															0	0	0824 g											
偝															0	0	0909 f											
