Character	Number	Chinese etymology	MC description	ZIHUI	Beijing	Jinan	Xi'an	Taiyuan	Hankou	Chengdu	Yangzhou	Suzhou	Wenzhou	Changsha	Shuangfeng	Nanchang	Meixian	Guangzhou	Xiamen	Chaozhou	Fuzhou	Shanghai	Zhongyuan yinyun
下	18	Chinese etymology	A: 假開二上馬匣; B: 假開二去禡匣	A: 0007 0103; B: 0007 0104	A: śia 3; B: śia 3	A: śia 3; B: śia 3	A: śia 3; B: śia 3	A: śia 3; B: śia 3	A: śia 3  (lit.); xa 3; B: śia 3	A: śia 3; B: śia 3	A: xâ 3; śiâ 3  (lit.); B: śiâ 3  (lit.); xâ 3	A: ia_ 32 (lit.); ɦo 32; B: śia_ 31 (lit.); ɦo 32	A: ɦo 22; B: ɦo 22	A: ia 32 (lit.); xa 32; B: śia 32 (lit.); xa 32	A: ɣio 32 (lit.); ɣo 32; B: ɣio 32 (lit.); ɣo 32	A: ha 32; B: ha 32	A: ha 3; B: ha 3	A: ha 22; B: ha 32	A: ha 32 (lit.); he 32; e 32; B: ha 32 (lit.); he 32; e 32	A: e 22; B: hia 22	A: a 32; B: xa 32	A: ɦo 32; B: ɦo 32	A: xa 3; B: xa 2
丈	19	Chinese etymology	宕開三上養澄	0004 2275	c̣aŋ 3	c̣aŋ 3	c̣aŋ 3	ca_̃ 3	caŋ 3	caŋ 3	câŋ 3	zaŋ 32	ʒ́i 22	c̣an 31 (lit.); c̣an 32	daŋ 32	chɔŋ 32	chɔŋ 3	čö_ŋ 32	tiɔŋ 32 (lit.); tiũ 32; tŋ 32	ciaŋ 22	tuɔŋ 32	zã 32	čiaŋ 3
上	20	Chinese etymology	A: 宕開三上養襌; B: 宕開三去漾襌	A: 0006 2294; B: 0006 2296	A: ṣaŋ 3; B: ṣaŋ 3	A: ṣaŋ 3; B: ṣaŋ 3	A: ṣaŋ 3; B: ṣaŋ 3	A: sa_̃ 3; B: sa_̃ 3	A: saŋ 3; B: saŋ 3	A: saŋ 3; B: saŋ 3	A: sâŋ 3; B: sâŋ 3	A: zaŋ 32 (lit.); za_ŋ 32; B: zaŋ 32 (lit.); za_ŋ 32	A: ɦi 32; B: ɦi 32	A: ṣan 31 (lit.); ṣan 32; B: ṣan 31 (lit.); ṣan 32	A: ɣiaŋ 32; B:	A: sɔŋ 32; B: sɔŋ 32	A: sɔŋ 3; B: sɔŋ 3	A: šö_ŋ 22; B: šö_ŋ 32	A: siɔŋ 32 (lit.); siaŋ 32; B: siɔŋ 32 (lit.); siũ 32	A: ciẽ 22; B: ciẽ 32	A: suɔŋ 32; B: suɔŋ 32	A: za_̃ 32; B: za_̃ 32	A: šiaŋ 3; B: šiaŋ 3
丸	21	Chinese etymology	山合一平桓匣	0029 1979	uan 12	uã 12	uã 12	vä̃ 1	uan 12	yan 12	uõ 12	ɦuö 12	ɦy 12	yẽ 12	ɣuã 12	yɔn 31	jan 12	jyn 12	uan 12	ĩ 12	uɔŋ 12	uö 3	on 12
凡	22	Chinese etymology	咸合三平凡奉	0416 1651	fan 12	fã 11	fã 12	fä̃ 1	fan 12	fan 12	fɛ̃ 12	ve_ 12	va 12	fan 12	ɣuã 12	фuan 31	fam 12	fān 12	huan 12	huam 12	xuaŋ 12	ve_ 32	fan 12
久	23	Chinese etymology	流開三上有見	0036 1593	ćiou 2	ćiou 2	ćiou 2	ćiou 2	ćiou 2	ćiǝu 2	ćiôɨ 2	ćiöy 2	ćiau 21	tiôu 2	ćiû 2	ćiu 2	kiu 2	kau 21	kiu 2	ku 21	kieu 2	ćiɨ 3	kiou 2
么	24	Chinese etymology	效開四平蕭影	8010 1485	iau 11	iɔ 11	iau 11	iau 1	iau 11	iau 11	iɔ 11	iä 11	iɛ 11	iau 11	iǝ 11	iɛu 11	jau 11	jiu 11	iau 11 (lit.); io 11	iǝu 11	ieu 11	iɔ 1	iau 1
也	25	Chinese etymology	假開三上馬以	0048 0375	ie 2	ie 2	ie 2	iɛ 2	ie 2	ie 2	î 2	ia_ 2  (lit.); ɦa_ 2	iɛ 21	ie 2  (lit.); a 2	io 2	ia 2	ja 11	ja 22	a 2  (lit.); a 31	ia 32	ia 2	ie_ 32	ie 2
于	26	Chinese etymology	遇合三平虞云	0060 1005	y 12	y 12	y 12	y 1	y 12	y 12	y 12	y 12	ɦu 12	y 12	y 12	y 31	ji 12	jy 12	u 12	i 11	y 11	y 32	iu 12
亡	27	Chinese etymology	宕合三平陽微	0072 2398	uaŋ 12	uaŋ 12	vaŋ 12	va_̃ 1	uaŋ 12	uaŋ 12	uâŋ 12	va_ŋ 12	ɦuɔ 12	uan 12	aŋ 12	uɔŋ 12	mɔŋ 12	mɔŋ 12	bɔŋ 12	buaŋ 12	uɔŋ 12	ua_̃ 32	vaŋ 12
